"","X","Y","Values"
"1",-179,-40,0.179416015744209
"2",-177,-40,0.183560252189636
"3",-175,-40,0.182950645685196
"4",-173,-40,0.178936034440994
"5",-171,-40,0.182054236531258
"6",-169,-40,0.188879996538162
"7",-167,-40,0.194577127695084
"8",-165,-40,0.202911764383316
"9",-163,-40,0.213997274637222
"10",-161,-40,0.229507118463516
"11",-159,-40,0.244463458657265
"12",-157,-40,0.262525379657745
"13",-155,-40,0.283926784992218
"14",-153,-40,0.308375954627991
"15",-151,-40,0.333698481321335
"16",-149,-40,0.36188405752182
"17",-147,-40,0.395573824644089
"18",-145,-40,0.430869311094284
"19",-143,-40,0.465159952640533
"20",-141,-40,0.499207705259323
"21",-139,-40,0.537122189998627
"22",-137,-40,0.582794487476349
"23",-135,-40,0.583562254905701
"24",-133,-40,0.577940762042999
"25",-131,-40,0.57146030664444
"26",-129,-40,0.56222802400589
"27",-127,-40,0.556221902370453
"28",-125,-40,0.559004664421082
"29",-123,-40,0.559409201145172
"30",-121,-40,0.560083508491516
"31",-119,-40,0.563938081264496
"32",-117,-40,0.565374732017517
"33",-115,-40,0.565178692340851
"34",-113,-40,0.549290180206299
"35",-111,-40,0.516849219799042
"36",-109,-40,0.484800010919571
"37",-107,-40,0.447008401155472
"38",-105,-40,0.418402343988419
"39",-103,-40,0.383170247077942
"40",-101,-40,0.354216992855072
"41",-99,-40,0.327199131250381
"42",-97,-40,0.300503671169281
"43",-95,-40,0.276809185743332
"44",-93,-40,0.254461169242859
"45",-91,-40,0.237569034099579
"46",-89,-40,0.221465989947319
"47",-87,-40,0.208483546972275
"48",-85,-40,0.197297289967537
"49",-83,-40,0.187031224370003
"50",-81,-40,0.176872700452805
"51",-79,-40,0.168366387486458
"52",-77,-40,0.164410322904587
"53",-75,-40,0.166573747992516
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,0.183809474110603
"57",-67,-40,0.183809474110603
"58",-65,-40,0.188779503107071
"59",-63,-40,0.204632088541985
"60",-61,-40,0.190098077058792
"61",-59,-40,0.174642205238342
"62",-57,-40,0.208653748035431
"63",-55,-40,0.177728936076164
"64",-53,-40,0.175594925880432
"65",-51,-40,0.176152914762497
"66",-49,-40,0.182964935898781
"67",-47,-40,0.189487457275391
"68",-45,-40,0.199264541268349
"69",-43,-40,0.212185278534889
"70",-41,-40,0.227749139070511
"71",-39,-40,0.23724190890789
"72",-37,-40,0.240456625819206
"73",-35,-40,0.242359712719917
"74",-33,-40,0.241752952337265
"75",-31,-40,0.242631614208221
"76",-29,-40,0.246399492025375
"77",-27,-40,0.230549335479736
"78",-25,-40,0.211185798048973
"79",-23,-40,0.19479076564312
"80",-21,-40,0.182037800550461
"81",-19,-40,0.170698285102844
"82",-17,-40,0.161334693431854
"83",-15,-40,0.156207606196404
"84",-13,-40,0.154814198613167
"85",-11,-40,0.156178548932076
"86",-9,-40,0.155792251229286
"87",-7,-40,0.154530316591263
"88",-5,-40,0.154656291007996
"89",-3,-40,0.153014287352562
"90",-1,-40,0.152795314788818
"91",1,-40,0.153668388724327
"92",3,-40,0.153340145945549
"93",5,-40,0.153761431574821
"94",7,-40,0.155264541506767
"95",9,-40,0.158385172486305
"96",11,-40,0.162750095129013
"97",13,-40,0.166613325476646
"98",15,-40,0.172151416540146
