"","X","Y","Values"
"1",-179,-40,4.06922769546509
"2",-177,-40,3.19803309440613
"3",-175,-40,2.81990432739258
"4",-173,-40,2.59813189506531
"5",-171,-40,1.98364496231079
"6",-169,-40,1.24234819412231
"7",-167,-40,0.65277636051178
"8",-165,-40,0.260346472263336
"9",-163,-40,-0.170503780245781
"10",-161,-40,-0.686726450920105
"11",-159,-40,-1.15288817882538
"12",-157,-40,-1.59049010276794
"13",-155,-40,-1.99232363700867
"14",-153,-40,-2.35378050804138
"15",-151,-40,-2.74962067604065
"16",-149,-40,-3.2165060043335
"17",-147,-40,-3.73948860168457
"18",-145,-40,-4.19510984420776
"19",-143,-40,-4.56340312957764
"20",-141,-40,-4.96628522872925
"21",-139,-40,-5.36999034881592
"22",-137,-40,-5.87699508666992
"23",-135,-40,-5.83415699005127
"24",-133,-40,-5.76675271987915
"25",-131,-40,-5.72685241699219
"26",-129,-40,-5.73412895202637
"27",-127,-40,-5.65692281723022
"28",-125,-40,-5.84947967529297
"29",-123,-40,-5.8412446975708
"30",-121,-40,-5.87083053588867
"31",-119,-40,-5.94057989120483
"32",-117,-40,-5.87728118896484
"33",-115,-40,-5.85644292831421
"34",-113,-40,-5.72320556640625
"35",-111,-40,-5.32945680618286
"36",-109,-40,-5.00371885299683
"37",-107,-40,-4.53180885314941
"38",-105,-40,-4.27407073974609
"39",-103,-40,-3.92739486694336
"40",-101,-40,-3.57479405403137
"41",-99,-40,-3.1999146938324
"42",-97,-40,-2.73397064208984
"43",-95,-40,-2.24455761909485
"44",-93,-40,-1.77355790138245
"45",-91,-40,-1.28290343284607
"46",-89,-40,-0.798026442527771
"47",-87,-40,-0.348327964544296
"48",-85,-40,0.116086959838867
"49",-83,-40,0.661330103874207
"50",-81,-40,1.38585960865021
"51",-79,-40,2.44238376617432
"52",-77,-40,3.70246505737305
"53",-75,-40,6.29144668579102
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,8.88534450531006
"57",-67,-40,8.88534450531006
"58",-65,-40,8.67520141601562
"59",-63,-40,7.21139240264893
"60",-61,-40,8.22859954833984
"61",-59,-40,7.52499294281006
"62",-57,-40,6.86669015884399
"63",-55,-40,4.69686126708984
"64",-53,-40,6.54785776138306
"65",-51,-40,6.00798177719116
"66",-49,-40,4.90394258499146
"67",-47,-40,3.4743640422821
"68",-45,-40,2.77834296226501
"69",-43,-40,2.15915465354919
"70",-41,-40,1.698286652565
"71",-39,-40,1.3575382232666
"72",-37,-40,1.57299494743347
"73",-35,-40,1.43279564380646
"74",-33,-40,1.72743308544159
"75",-31,-40,1.98314261436462
"76",-29,-40,1.7940468788147
"77",-27,-40,2.26016879081726
"78",-25,-40,2.34334969520569
"79",-23,-40,2.5768415927887
"80",-21,-40,2.5968804359436
